time,open,high,low,close,200 EMA,MACD,Signal Line,Histogram,Cross,Close Above 200 EMA,Close Below 200 EMA,MACD under zero,MACD over zero,Close Up Relative to Yesterday,Close Down Relative to Yesterday
1253221200,134.243,134.617,133.706,134.338,133.7708808,-0.147643513,-0.360837157,0.213193644,0,1,0,,,,
1253480400,134.253,135.487,134.163,134.897,133.782086,-0.034184324,-0.310016136,0.275831812,0,1,0,,,,
1253566800,134.897,135.341,134.59,134.707,133.7912891,0.039941072,-0.259929841,0.299870914,0,1,0,,,,
1253653200,134.707,135.21,134.026,134.466,133.7980026,0.078336285,-0.211167241,0.289503526,0,1,0,,,,
1253739600,134.466,134.69,133.341,133.81,133.798122,0.0551948,-0.156197486,0.211392285,0,1,0,,,,
1253826000,133.81,133.885,131.578,131.75,133.7777427,-0.127895479,-0.121551948,-0.006343531,1,0,1,,,,
1254085200,131.639,131.792,129.788,131.034,133.7504418,-0.327001589,-0.114047176,-0.212954414,0,0,1,,,,
1254171600,131.034,131.79,130.7,131.372,133.7267757,-0.452306928,-0.127661607,-0.324645321,0,0,1,,,,
1254258000,131.372,132.027,130.624,131.293,133.702559,-0.551628126,-0.163020867,-0.388607259,0,0,1,,,,
1254344400,131.293,131.805,130.117,130.311,133.6688122,-0.701493702,-0.224559777,-0.476933925,0,0,1,,,,
1254430800,130.311,131.235,129.03,130.772,133.6399882,-0.774140592,-0.30677714,-0.467363452,0,0,1,,,,
1254690000,130.772,131.66,130.452,131.14,133.6151127,-0.79287943,-0.399312751,-0.393566679,0,0,1,,,,
1254776400,131.14,131.561,130.555,130.743,133.5865344,-0.830194709,-0.50026064,-0.32993407,0,0,1,,,,
1254862800,130.743,131.1,129.577,130.116,133.5520017,-0.899986513,-0.606391896,-0.293594616,0,0,1,,,,
1254949200,130.116,130.944,129.982,130.743,133.5240515,-0.89439335,-0.691558327,-0.202835023,0,0,1,,,,
1255035600,130.743,132.232,130.676,132.112,133.5100012,-0.770610748,-0.740848233,-0.029762515,0,0,1,,,,
1255294800,132.112,133.33,131.769,132.681,133.5017524,-0.619457875,-0.75942056,0.139962686,1,0,1,,,,
1255381200,132.681,133.487,132.532,133.191,133.4986604,-0.453290149,-0.748494119,0.295203969,0,0,1,,,,
1255467600,133.191,133.765,132.232,133.463,133.4983055,-0.296238055,-0.703465713,0.407227658,0,0,1,,,,
1255554000,133.463,135.39,133.311,135.334,133.5165712,-0.020562049,-0.619734764,0.599172715,0,1,0,,,,
1255640400,135.334,136.07,134.966,135.38,133.5351127,0.199327267,-0.509489576,0.708816842,0,1,0,,,,
1255899600,135.38,135.925,134.756,135.463,133.5542957,0.375954768,-0.375472967,0.751427735,0,1,0,,,,
1255986000,135.463,135.848,134.866,135.619,133.57484,0.522498197,-0.21741911,0.739917307,0,1,0,,,,
1256072400,135.619,136.971,135.185,136.563,133.604573,0.706661873,-0.039524086,0.746185959,0,1,0,,,,
1256158800,136.563,137.427,136.266,137.212,133.6404678,0.894668606,0.145506954,0.749161653,0,1,0,,,,
1256245200,137.212,138.36,137.148,138.062,133.6844631,1.099577943,0.336510933,0.76306701,0,1,0,,,,
1256504400,138.062,138.485,136.807,137.083,133.7182794,1.169491777,0.516820036,0.652671741,0,1,0,,,,
1256590800,137.083,137.379,135.66,135.863,133.7396199,1.113618095,0.67347072,0.440147375,0,1,0,,,,
1256677200,135.863,136,133.261,133.321,133.7354545,0.854370986,0.770685501,0.083685485,0,0,1,,,,
1256763600,133.321,135.985,132.804,135.459,133.7526042,0.812073439,0.838768409,-0.02669497,1,1,0,,,,
1256850000,135.459,135.92,132.32,132.395,133.7390957,0.525258285,0.855357689,-0.330099404,0,0,1,,,,
1257112800,132.395,134.532,130.994,133.287,133.7345973,0.365716404,0.83793749,-0.472221086,0,0,1,,,,
1257199200,133.287,133.981,131.724,132.969,133.7269794,0.211183973,0.78288439,-0.571700417,0,0,1,,,,
1257285600,132.969,135.683,132.502,134.795,133.7376064,0.233368719,0.709406625,-0.476037906,0,1,0,,,,
1257372000,134.795,135.176,133.355,134.865,133.7488243,0.253674503,0.615417353,-0.361742851,0,1,0,,,,
1257458400,134.865,135.139,133.208,133.534,133.7466867,0.160516077,0.503308942,-0.342792865,0,0,1,,,,
1257717600,133.534,135.075,133.361,134.865,133.7578142,0.191876102,0.400893165,-0.209017064,0,1,0,,,,
1257804000,134.865,135.374,134.126,134.619,133.7663832,0.194635368,0.327589208,-0.13295384,0,1,0,,,,
1257890400,134.619,135.35,133.81,134.679,133.775464,0.199365444,0.259510542,-0.060145098,0,1,0,,,,
1257976800,134.679,135.024,133.933,134.164,133.77933,0.159716752,0.218894816,-0.059178064,0,1,0,,,,
1258063200,134.164,134.455,132.847,133.776,133.7792969,0.095881261,0.188913133,-0.093031872,0,0,1,,,,
1258322400,133.776,134.33,133.18,133.29,133.7744283,0.006005805,0.166115559,-0.160109754,0,0,1,,,,
1258408800,133.29,133.587,132.438,132.75,133.764235,-0.107554804,0.128235167,-0.235789971,0,0,1,,,,
1258495200,132.75,134.015,132.582,133.608,133.7626804,-0.12685665,0.085953928,-0.212810578,0,0,1,,,,
1258581600,133.608,133.764,131.753,132.746,133.7525642,-0.209297052,0.044863581,-0.254160633,0,0,1,,,,
1258668000,132.746,132.952,131.793,132.275,133.737862,-0.309074609,-0.01079761,-0.298277,0,0,1,,,,
1258927200,132.275,133.614,131.808,133.072,133.7312365,-0.320147343,-0.067995689,-0.252151655,0,0,1,,,,
1259013600,133.072,133.257,132.017,132.426,133.7182491,-0.376706923,-0.132003729,-0.244703194,0,0,1,,,,
1259100000,132.426,132.691,131.51,132.166,133.7028038,-0.437467768,-0.198357565,-0.239110204,0,0,1,,,,
1259186400,132.166,132.312,129.514,129.993,133.6658904,-0.653431761,-0.281614567,-0.371817194,0,0,1,,,,
1259272800,129.993,130.158,126.879,129.576,133.6251949,-0.848452761,-0.376554408,-0.471898353,0,0,1,,,,
1259532000,129.576,130.826,128.965,129.604,133.5851831,-0.989344396,-0.474531029,-0.514813367,0,0,1,,,,
1259618400,129.604,131.278,129.319,130.714,133.5566141,-0.999907992,-0.571536734,-0.428371258,0,0,1,,,,
1259704800,130.714,131.985,130.645,131.423,133.5353841,-0.940230946,-0.652751611,-0.287479335,0,0,1,,,,
1259791200,131.423,133.558,131.387,132.829,133.5283554,-0.770600998,-0.704032321,-0.066568677,0,0,1,,,,
1259877600,132.829,134.57,132.496,134.307,133.5361031,-0.511015131,-0.725239853,0.214224722,1,1,0,,,,
1260136800,134.307,134.36,132.373,132.684,133.5276245,-0.431282441,-0.731303799,0.300021358,0,0,1,,,,
1260223200,132.684,132.698,129.653,129.976,133.4922849,-0.579921702,-0.747132014,0.167210312,0,0,1,,,,
1260309600,129.976,130.468,128.784,129.355,133.4511179,-0.739306631,-0.756673666,0.017367036,0,0,1,,,,
1260396000,129.355,130.361,129.04,129.89,133.4156839,-0.813077653,-0.752743099,-0.060334554,1,0,1,,,,
1260482400,129.89,131.608,129.862,130.3,133.3846821,-0.828903068,-0.734916285,-0.093986783,0,0,1,,,,
1260741600,130.3,130.641,129.176,129.842,133.3494315,-0.868391321,-0.720303321,-0.148087999,0,0,1,,,,
1260828000,129.842,130.74,129.534,130.244,133.3185317,-0.857364837,-0.711095976,-0.146268861,0,0,1,,,,
1260914400,130.244,130.792,129.934,130.428,133.2897702,-0.824277252,-0.717060004,-0.107217248,0,0,1,,,,
1261000800,130.428,130.686,128.829,128.953,133.2466182,-0.906624275,-0.761016576,-0.1456077,0,0,1,,,,
1261087200,128.953,130.02,127.389,129.495,133.2092887,-0.917572806,-0.815048838,-0.102523967,0,0,1,,,,
1261346400,129.495,130.375,129.139,130.13,133.178649,-0.865038774,-0.846728513,-0.018310261,0,0,1,,,,
1261432800,130.13,131.077,129.964,130.809,133.1550704,-0.759856398,-0.84901182,0.089155423,1,0,1,,,,
1261519200,130.809,131.475,130.534,131.321,133.1368209,-0.627945916,-0.828441627,0.200495711,0,0,1,,,,
1261605600,131.321,131.88,130.887,131.688,133.1224048,-0.488164816,-0.790581822,0.302417005,0,0,1,,,,
1261951200,131.688,131.926,131.385,131.729,133.1085401,-0.369815923,-0.735184555,0.365368633,0,0,1,,,,
1262037600,131.729,132.609,131.645,132.005,133.0975596,-0.25086091,-0.66779523,0.41693432,0,0,1,,,,
1262124000,132.005,132.79,131.795,132.49,133.0915142,-0.116114266,-0.589110454,0.472996188,0,0,1,,,,
1262210400,132.49,133.598,132.459,133.414,133.094723,0.064489108,-0.481208967,0.545698075,0,1,0,,,,
1262556000,133.414,133.787,132.38,133.289,133.0966561,0.19528105,-0.357558538,0.552839588,0,1,0,,,,
1262642400,133.289,133.467,131.445,131.68,133.0825601,0.167174667,-0.242868156,0.410042823,0,0,1,,,,
1262728800,131.68,133.489,131.26,132.981,133.0815495,0.247032348,-0.130991629,0.378023977,0,0,1,,,,
1262815200,132.981,133.663,132.386,133.56,133.0863102,0.352971758,-0.022000776,0.374972534,0,1,0,,,,
1262901600,133.56,134.132,132.392,133.496,133.0903867,0.426844837,0.079666963,0.347177874,0,1,0,,,,
1263160800,133.496,134.379,133.417,133.603,133.0954874,0.488393889,0.175023609,0.31337028,0,1,0,,,,
1263247200,133.603,133.815,131.627,131.753,133.0821293,0.383471992,0.245505043,0.137966949,0,0,1,,,,
1263333600,131.753,133.215,131.514,132.563,133.0769638,0.361513559,0.298574801,0.062938758,0,0,1,,,,
1263420000,132.563,133.64,131.71,132.219,133.0684269,0.31274825,0.32615915,-0.0134109,1,0,1,,,,
1263506400,132.219,132.407,130.298,130.565,133.0435171,0.13903471,0.319909557,-0.180874847,0,0,1,,,,
1263765600,130.565,130.947,130.081,130.545,133.0186563,-0.000245525,0.301307313,-0.301552839,0,0,1,,,,
1263852000,130.545,130.713,129.634,130.185,132.9904607,-0.138083368,0.258516678,-0.396600046,0,0,1,,,,
1263938400,130.185,130.318,128.401,128.668,132.9474511,-0.365516624,0.178684636,-0.54420126,0,0,1,,,,
1264024800,128.668,129.497,127.039,127.35,132.8917551,-0.644679243,0.059626404,-0.704305647,0,0,1,,,,
1264111200,127.35,128.206,126.535,127.473,132.8378371,-0.846237656,-0.08866599,-0.757571667,0,0,1,,,,
1264370400,127.473,128.137,127.071,127.721,132.7869233,-0.974726582,-0.239576942,-0.73514964,0,0,1,,,,
1264456800,127.721,128.366,125.668,126.116,132.720546,-1.192320737,-0.412225197,-0.78009554,0,0,1,,,,
1264543200,126.116,126.397,125.233,126.187,132.6555356,-1.34354897,-0.596258222,-0.747290748,0,0,1,,,,
1264629600,126.187,127.085,125.096,125.583,132.5851621,-1.494903865,-0.777806952,-0.717096912,0,0,1,,,,
1264716000,125.583,126.774,124.815,125.145,132.5111306,-1.631390989,-0.959045337,-0.672345652,0,0,1,,,,
1264975200,125.145,126.529,124.553,126.184,132.4481741,-1.636850804,-1.125575052,-0.511275752,0,0,1,,,,
1265061600,126.184,126.684,125.819,126.184,132.385844,-1.622474867,-1.265237079,-0.357237788,0,0,1,,,,
